ID,Name,中文名称,日本語名
103,Exeggutor,椰蛋树,ナッシー
104,Cubone,卡拉卡拉,カラカラ
105,Marowak,嘎啦嘎啦,ガラガラ
106,Hitmonlee,飞腿郎,サワムラー
107,Hitmonchan,快拳郎,エビワラー
108,Lickitung,大舌头,ベロリンガ
109,Koffing,瓦斯弹,ドガース
110,Weezing,双弹瓦斯,マタドガス
111,Rhyhorn,独角犀牛,サイホーン
112,Rhydon,钻角犀兽,サイドン
113,Chansey,吉利蛋,ラッキー
114,Tangela,蔓藤怪,モンジャラ
115,Kangaskhan,袋兽,ガルーラ
116,Horsea,墨海马,タッツー
117,Seadra,海刺龙,シードラ
118,Goldeen,角金鱼,トサキント
119,Seaking,金鱼王,アズマオウ
120,Staryu,海星星,ヒトデマン
121,Starmie,宝石海星,スターミー
122,Mr. Mime,魔墙人偶,バリヤード
123,Scyther,飞天螳螂,ストライク
124,Jynx,迷唇姐,ルージュラ
125,Electabuzz,电击兽,エレブー
126,Magmar,鸭嘴火兽,ブーバー
127,Pinsir,凯罗斯,カイロス
128,Tauros,肯泰罗,ケンタロス
129,Magikarp,鲤鱼王,コイキング
130,Gyarados,暴鲤龙,ギャラドス
131,Lapras,拉普拉斯,ラプラス
132,Ditto,百变怪,メタモン
133,Eevee,伊布,イーブイ
134,Vaporeon,水伊布,シャワーズ
135,Jolteon,雷伊布,サンダース
136,Flareon,火伊布,ブースター
137,Porygon,多边兽,ポリゴン
138,Omanyte,菊石兽,オムナイト
139,Omastar,多刺菊石兽,オムスター
140,Kabuto,化石盔,カブト
141,Kabutops,镰刀盔,カブトプス
142,Aerodactyl,化石翼龙,プテラ
143,Snorlax,卡比兽,カビゴン
144,Articuno,急冻鸟,フリーザー
145,Zapdos,闪电鸟,サンダー
146,Moltres,火焰鸟,ファイヤー
147,Dratini,迷你龙,ミニリュウ
148,Dragonair,哈克龙,ハクリュー
149,Dragonite,快龙,カイリュー
150,Mewtwo,超梦,ミュウツー
151,Mew,梦幻,ミュウ
152,Chikorita,菊草叶,チコリータ
153,Bayleef,月桂叶,ベイリーフ
154,Meganium,大竺葵,メガニウム
155,Cyndaquil,火球鼠,ヒノアラシ
156,Quilava,火岩鼠,マグマラシ
157,Typhlosion,火暴兽,バクフーン
158,Totodile,小锯鳄,ワニノコ
159,Croconaw,蓝鳄,アリゲイツ
160,Feraligatr,大力鳄,オーダイル
161,Sentret,尾立,オタチ
162,Furret,大尾立,オオタチ
163,Hoothoot,咕咕,ホーホー
164,Noctowl,猫头夜鹰,ヨルノズク
165,Ledyba,芭瓢虫,レディバ
166,Ledian,安瓢虫,レディアン
167,Spinarak,圆丝蛛,イトマル
168,Ariados,阿利多斯,アリアドス
169,Crobat,叉字蝠,クロバット
170,Chinchou,灯笼鱼,チョンチー
171,Lanturn,电灯怪,ランターン
172,Pichu,皮丘,ピチュー
173,Cleffa,皮宝宝,ピィ
174,Igglybuff,宝宝丁,ププリン
175,Togepi,波克比,トゲピー
176,Togetic,波克基古,トゲチック
177,Natu,天然雀,ネイティ
178,Xatu,天然鸟,ネイティオ
179,Mareep,咩利羊,メリープ
180,Flaaffy,茸茸羊,モココ
181,Ampharos,电龙,デンリュウ
182,Bellossom,美丽花,キレイハナ
183,Marill,玛力露,マリル
184,Azumarill,玛力露丽,マリルリ
185,Sudowoodo,树才怪,ウソッキー
186,Politoed,蚊香蛙皇,ニョロトノ
187,Hoppip,毽子草,ハネッコ
188,Skiploom,毽子花,ポポッコ
189,Jumpluff,毽子棉,ワタッコ
190,Aipom,长尾怪手,エイパム
191,Sunkern,向日种子,ヒマナッツ
192,Sunflora,向日花怪,キマワリ
193,Yanma,蜻蜻蜓,ヤンヤンマ
194,Wooper,乌波,ウパー
195,Quagsire,沼王,ヌオー
196,Espeon,太阳伊布,エーフィ
197,Umbreon,月亮伊布,ブラッキー
198,Murkrow,黑暗鸦,ヤミカラス
199,Slowking,呆呆王,ヤドキング
200,Misdreavus,梦妖,ムウマ
201,Unown,未知图腾,アンノーン
202,Wobbuffet,果然翁,ソーナンス
203,Girafarig,麒麟奇,キリンリキ
204,Pineco,榛果球,クヌギダマ
205,Forretress,佛烈托斯,フォレトス
206,Dunsparce,土龙弟弟,ノコッチ
207,Gligar,天蝎,グライガー
208,Steelix,大钢蛇,ハガネール
209,Snubbull,布鲁,ブルー
210,Granbull,布鲁皇,グランブル
211,Qwilfish,千针鱼,ハリーセン
212,Scizor,巨钳螳螂,ハッサム
213,Shuckle,壶壶,ツボツボ
214,Heracross,赫拉克罗斯,ヘラクロス
215,Sneasel,狃拉,ニューラ
216,Teddiursa,熊宝宝,ヒメグマ
217,Ursaring,圈圈熊,リングマ
218,Slugma,熔岩虫,マグマッグ
219,Magcargo,熔岩蜗牛,マグカルゴ
220,Swinub,小山猪,ウリムー
221,Piloswine,长毛猪,イノムー
222,Corsola,太阳珊瑚,サニーゴ
223,Remoraid,铁炮鱼,テッポウオ
224,Octillery,章鱼桶,オクタン
225,Delibird,信使鸟,デリバード
226,Mantine,巨翅飞鱼,マンタイン
227,Skarmory,盔甲鸟,エアームド
228,Houndour,戴鲁比,デルビル
229,Houndoom,黑鲁加,ヘルガー
230,Kingdra,刺龙王,キングドラ
231,Phanpy,小小象,ゴマゾウ
232,Donphan,顿甲,ドンファン
233,Porygon2,多边兽Ⅱ,ポリゴン２
234,Stantler,惊角鹿,オドシシ
235,Smeargle,图图犬,ドーブル
236,Tyrogue,无畏小子,バルキー
237,Hitmontop,战舞郎,カポエラー
238,Smoochum,迷唇娃,ムチュール
239,Elekid,电击怪,エレキッド
240,Magby,鸭嘴宝宝,ブビィ
241,Miltank,大奶罐,ミルタンク
242,Blissey,幸福蛋,ハピナス
243,Raikou,雷公,ライコウ
244,Entei,炎帝,エンテイ
245,Suicune,水君,スイクン
246,Larvitar,幼基拉斯,ヨーギラス
247,Pupitar,沙基拉斯,サナギラス
248,Tyranitar,班基拉斯,バンギラス
249,Lugia,洛奇亚,ルギア
250,Ho-Oh,凤王,ホウオウ
251,Celebi,时拉比,セレビィ
252,Treecko,木守宫,キモリ
253,Grovyle,森林蜥蜴,ジュプトル
254,Sceptile,蜥蜴王,ジュカイン
255,Torchic,火稚鸡,アチャモ
256,Combusken,力壮鸡,ワカシャモ
257,Blaziken,火焰鸡,バシャーモ
258,Mudkip,水跃鱼,ミズゴロウ
259,Marshtomp,沼跃鱼,ヌマクロー
260,Swampert,巨沼怪,ラグラージ
261,Poochyena,土狼犬,ポチエナ
262,Mightyena,大狼犬,グラエナ
263,Zigzagoon,蛇纹熊,ジグザグマ
264,Linoone,直冲熊,マッスグマ
265,Wurmple,刺尾虫,ケムッソ
266,Silcoon,甲壳茧,カラサリス
267,Beautifly,狩猎凤蝶,アゲハント
268,Cascoon,盾甲茧,マユルド
269,Dustox,毒粉蛾,ドクケイル
270,Lotad,莲叶童子,ハスボー
271,Lombre,莲帽小童,ハスブレロ
272,Ludicolo,乐天河童,ルンパッパ
273,Seedot,橡实果,タネボー
274,Nuzleaf,长鼻叶,コノハナ
275,Shiftry,狡猾天狗,ダーテング
276,Taillow,傲骨燕,スバメ
277,Swellow,大王燕,オオスバメ
278,Wingull,长翅鸥,キャモメ
279,Pelipper,大嘴鸥,ペリッパー
280,Ralts,拉鲁拉丝,ラルトス
281,Kirlia,奇鲁莉安,キルリア
282,Gardevoir,沙奈朵,サーナイト
283,Surskit,溜溜糖球,アメタマ
284,Masquerain,雨翅蛾,アメモース
285,Shroomish,蘑蘑菇,キノココ
286,Breloom,斗笠菇,キノガッサ
287,Slakoth,懒人獭,ナマケロ
288,Vigoroth,过动猿,ヤルキモノ
289,Slaking,请假王,ケッキング
290,Nincada,土居忍士,ツチニン
291,Ninjask,铁面忍者,テッカニン
292,Shedinja,脱壳忍者,ヌケニン
293,Whismur,咕妞妞,ゴニョニョ
294,Loudred,吼爆弹,ドゴーム
295,Exploud,爆音怪,バクオング
296,Makuhita,幕下力士,マクノシタ
297,Hariyama,铁掌力士,ハリテヤマ
298,Azurill,露力丽,ルリリ
299,Nosepass,朝北鼻,ノズパス
300,Skitty,向尾喵,エネコ
301,Delcatty,优雅猫,エネコロロ
302,Sableye,勾魂眼,ヤミラミ
303,Mawile,大嘴娃,クチート
304,Aron,可可多拉,ココドラ
305,Lairon,可多拉,コドラ
306,Aggron,波士可多拉,ボスゴドラ
307,Meditite,玛沙那,アサナン
308,Medicham,恰雷姆,チャーレム
309,Electrike,落雷兽,ラクライ
310,Manectric,雷电兽,ライボルト
311,Plusle,正电拍拍,プラスル
312,Minun,负电拍拍,マイナン
313,Volbeat,电萤虫,バルビート
314,Illumise,甜甜萤,イルミーゼ
315,Roselia,毒蔷薇,ロゼリア
316,Gulpin,溶食兽,ゴクリン
317,Swalot,吞食兽,マルノーム
318,Carvanha,利牙鱼,キバニア
319,Sharpedo,巨牙鲨,サメハダー
320,Wailmer,吼吼鲸,ホエルコ
321,Wailord,吼鲸王,ホエルオー
322,Numel,呆火驼,ドンメル
323,Camerupt,喷火驼,バクーダ
324,Torkoal,煤炭龟,コータス
325,Spoink,跳跳猪,バネブー
326,Grumpig,噗噗猪,ブーピッグ
327,Spinda,晃晃斑,パッチール
328,Trapinch,大颚蚁,ナックラー
329,Vibrava,超音波幼虫,ビブラーバ
330,Flygon,沙漠蜻蜓,フライゴン
331,Cacnea,刺球仙人掌,サボネア
332,Cacturne,梦歌仙人掌,ノクタス
333,Swablu,青绵鸟,チルット
334,Altaria,七夕青鸟,チルタリス
335,Zangoose,猫鼬斩,ザングース
336,Seviper,饭匙蛇,ハブネーク
337,Lunatone,月石,ルナトーン
338,Solrock,太阳岩,ソルロック
339,Barboach,泥泥鳅,ドジョッチ
340,Whiscash,鲶鱼王,ナマズン
341,Corphish,龙虾小兵,ヘイガニ
342,Crawdaunt,铁螯龙虾,シザリガー
343,Baltoy,天秤偶,ヤジロン
344,Claydol,念力土偶,ネンドール
345,Lileep,触手百合,リリーラ
346,Cradily,摇篮百合,ユレイドル
347,Anorith,太古羽虫,アノプス
348,Armaldo,太古盔甲,アーマルド
349,Feebas,丑丑鱼,ヒンバス
350,Milotic,美纳斯,ミロカロス
351,Castform,飘浮泡泡,ポワルン
352,Kecleon,变隐龙,カクレオン
353,Shuppet,怨影娃娃,カゲボウズ
354,Banette,诅咒娃娃,ジュペッタ
355,Duskull,夜巡灵,ヨマワル
356,Dusclops,彷徨夜灵,サマヨール
357,Tropius,热带龙,トロピウス
358,Chimecho,风铃铃,チリーン
359,Absol,阿勃梭鲁,アブソル
360,Wynaut,小果然,ソーナノ
361,Snorunt,雪童子,ユキワラシ
362,Glalie,冰鬼护,オニゴーリ
363,Spheal,海豹球,タマザラシ
364,Sealeo,海魔狮,トドグラー
365,Walrein,帝牙海狮,トドゼルガ
366,Clamperl,珍珠贝,パールル
367,Huntail,猎斑鱼,ハンテール
368,Gorebyss,樱花鱼,サクラビス
369,Relicanth,古空棘鱼,ジーランス
370,Luvdisc,爱心鱼,ラブカス
371,Bagon,宝贝龙,タツベイ
372,Shelgon,甲壳龙,コモルー
373,Salamence,暴飞龙,ボーマンダ
374,Beldum,铁哑铃,ダンバル
375,Metang,金属怪,メタング
376,Metagross,巨金怪,メタグロス
377,Regirock,雷吉洛克,レジロック
378,Regice,雷吉艾斯,レジアイス
379,Registeel,雷吉斯奇鲁,レジスチル
380,Latias,拉帝亚斯,ラティアス
381,Latios,拉帝欧斯,ラティオス
382,Kyogre,盖欧卡,カイオーガ
383,Groudon,固拉多,グラードン
384,Rayquaza,烈空坐,レックウザ
385,Jirachi,基拉祈,ジラーチ
386,Deoxys,代欧奇希斯,デオキシス
387,Turtwig,草苗龟,ナエトル
388,Grotle,树林龟,ハヤシガメ
389,Torterra,土台龟,ドダイトス
390,Chimchar,小火焰猴,ヒコザル
391,Monferno,猛火猴,モウカザル
392,Infernape,烈焰猴,ゴウカザル
393,Piplup,波加曼,ポッチャマ
394,Prinplup,波皇子,ポッタイシ
395,Empoleon,帝王拿波,エンペルト
396,Starly,姆克儿,ムックル
397,Staravia,姆克鸟,ムクバード
398,Staraptor,姆克鹰,ムクホーク
399,Bidoof,大牙狸,ビッパ
400,Bibarel,大尾狸,ビーダル
401,Kricketot,圆法师,コロボーシ
402,Kricketune,音箱蟀,コロトック
403,Shinx,小猫怪,コリンク
404,Luxio,勒克猫,ルクシオ
405,Luxray,伦琴猫,レントラー
406,Budew,含羞苞,スボミー
407,Roserade,罗丝雷朵,ロズレイド
408,Cranidos,头盖龙,ズガイドス
409,Rampardos,战槌龙,ラムパルド
410,Shieldon,盾甲龙,タテトプス
411,Bastiodon,护城龙,トリデプス
412,Burmy,结草儿,ミノムッチ
413,Wormadam,结草贵妇,ミノマダム
414,Mothim,绅士蛾,ガーメイル
415,Combee,三蜜蜂,ミツハニー
416,Vespiquen,蜂女王,ビークイン
417,Pachirisu,帕奇利兹,パチリス
418,Buizel,泳圈鼬,ブイゼル
419,Floatzel,浮潜鼬,フローゼル
420,Cherubi,樱花宝,チェリンボ
421,Cherrim,樱花儿,チェリム
422,Shellos,无壳海兔,カラナクシ
423,Gastrodon,海兔兽,トリトドン
424,Ambipom,双尾怪手,エテボース
425,Drifloon,飘飘球,フワンテ
426,Drifblim,随风球,フワライド
427,Buneary,卷卷耳,ミミロル
428,Lopunny,长耳兔,ミミロップ
429,Mismagius,梦妖魔,ムウマージ
430,Honchkrow,乌鸦头头,ドンカラス
431,Glameow,魅力喵,ニャルマー
432,Purugly,东施喵,ブニャット
433,Chingling,铃铛响,リーシャン
434,Stunky,臭鼬噗,スカンプー
435,Skuntank,坦克臭鼬,スカタンク
436,Bronzor,铜镜怪,ドーミラー
437,Bronzong,青铜钟,ドータクン
438,Bonsly,盆才怪,ウソハチ
439,Mime Jr.,魔尼尼,マネネ
440,Happiny,小福蛋,ピンプク
441,Chatot,聒噪鸟,ペラップ
442,Spiritomb,花岩怪,ミカルゲ
443,Gible,圆陆鲨,フカマル
444,Gabite,尖牙陆鲨,ガバイト
445,Garchomp,烈咬陆鲨,ガブリアス
446,Munchlax,小卡比兽,ゴンベ
447,Riolu,利欧路,リオル
448,Lucario,路卡利欧,ルカリオ
449,Hippopotas,沙河马,ヒポポタス
450,Hippowdon,河马兽,カバルドン
451,Skorupi,钳尾蝎,スコルピ
452,Drapion,龙王蝎,ドラピオン
453,Croagunk,不良蛙,グレッグル
454,Toxicroak,毒骷蛙,ドクロッグ
455,Carnivine,尖牙笼,マスキッパ
456,Finneon,荧光鱼,ケイコウオ
457,Lumineon,霓虹鱼,ネオラント
458,Mantyke,小球飞鱼,タマンタ
459,Snover,雪笠怪,ユキカブリ
460,Abomasnow,暴雪王,ユキノオー
461,Weavile,玛狃拉,マニューラ
462,Magnezone,自爆磁怪,ジバコイル
463,Lickilicky,大舌舔,ベロベルト
464,Rhyperior,超甲狂犀,ドサイドン
465,Tangrowth,巨蔓藤,モジャンボ
466,Electivire,电击魔兽,エレキブル
467,Magmortar,鸭嘴炎兽,ブーバーン
468,Togekiss,波克基斯,トゲキッス
469,Yanmega,远古巨蜓,メガヤンマ
470,Leafeon,叶伊布,リーフィア
471,Glaceon,冰伊布,グレイシア
472,Gliscor,天蝎王,グライオン
473,Mamoswine,象牙猪,マンムー
474,Porygon-Z,多边兽Ｚ,ポリゴンＺ
475,Gallade,艾路雷朵,エルレイド
476,Probopass,大朝北鼻,ダイノーズ
477,Dusknoir,黑夜魔灵,ヨノワール
478,Froslass,雪妖女,ユキメノコ
479,Rotom,洛托姆,ロトム
480,Uxie,由克希,ユクシー
481,Mesprit,艾姆利多,エムリット
482,Azelf,亚克诺姆,アグノム
483,Dialga,帝牙卢卡,ディアルガ
484,Palkia,帕路奇亚,パルキア
485,Heatran,席多蓝恩,ヒードラン
486,Regigigas,雷吉奇卡斯,レジギガス
487,Giratina,骑拉帝纳,ギラティナ
488,Cresselia,克雷色利亚,クレセリア
489,Phione,霏欧纳,フィオネ
490,Manaphy,玛纳霏,マナフィ
491,Darkrai,达克莱伊,ダークライ
492,Shaymin,谢米,シェイミ
493,Arceus,阿尔宙斯,アルセウス
494,Victini,比克提尼,ビクティニ
495,Snivy,藤藤蛇,ツタージャ
496,Servine,青藤蛇,ジャノビー
497,Serperior,君主蛇,ジャローダ
498,Tepig,暖暖猪,ポカブ
499,Pignite,炒炒猪,チャオブー
500,Emboar,炎武王,エンブオー
501,Oshawott,水水獭,ミジュマル
502,Dewott,双刃丸,フタチマル
503,Samurott,大剑鬼,ダイケンキ
504,Patrat,探探鼠,ミネズミ
505,Watchog,步哨鼠,ミルホッグ
506,Lillipup,小约克,ヨーテリー
507,Herdier,哈约克,ハーデリア
508,Stoutland,长毛狗,ムーランド
509,Purrloin,扒手猫,チョロネコ
510,Liepard,酷豹,レパルダス
511,Pansage,花椰猴,ヤナップ
512,Simisage,花椰猿,ヤナッキー
513,Pansear,爆香猴,バオップ
514,Simisear,爆香猿,バオッキー
515,Panpour,冷水猴,ヒヤップ
516,Simipour,冷水猿,ヒヤッキー
517,Munna,食梦梦,ムンナ
518,Musharna,梦梦蚀,ムシャーナ
519,Pidove,豆豆鸽,マメパト
520,Tranquill,咕咕鸽,ハトーボー
521,Unfezant,高傲雉鸡,ケンホロウ
522,Blitzle,斑斑马,シママ
523,Zebstrika,雷电斑马,ゼブライカ
524,Roggenrola,石丸子,ダンゴロ
525,Boldore,地幔岩,ガントル
526,Gigalith,庞岩怪,ギガイアス
527,Woobat,滚滚蝙蝠,コロモリ
528,Swoobat,心蝙蝠,ココロモリ
529,Drilbur,螺钉地鼠,モグリュー
530,Excadrill,龙头地鼠,ドリュウズ
531,Audino,差不多娃娃,タブンネ
532,Timburr,搬运小匠,ドッコラー
533,Gurdurr,铁骨土人,ドテッコツ
534,Conkeldurr,修建老匠,ローブシン
535,Tympole,圆蝌蚪,オタマロ
536,Palpitoad,蓝蟾蜍,ガマガル
537,Seismitoad,蟾蜍王,ガマゲロゲ
538,Throh,投摔鬼,ナゲキ
539,Sawk,打击鬼,ダゲキ
540,Sewaddle,虫宝包,クルミル
541,Swadloon,宝包茧,クルマユ
542,Leavanny,保姆虫,ハハコモリ
543,Venipede,百足蜈蚣,フシデ
544,Whirlipede,车轮球,ホイーガ
545,Scolipede,蜈蚣王,ペンドラー
546,Cottonee,木棉球*,モンメン
547,Whimsicott,风妖精*,エルフーン
548,Petilil,百合根娃娃,チュリネ
549,Lilligant,裙儿小姐,ドレディア
550,Basculin,野蛮鲈鱼,バスラオ
551,Sandile,黑眼鳄,メグロコ
552,Krokorok,混混鳄,ワルビル
553,Krookodile,流氓鳄,ワルビアル
554,Darumaka,火红不倒翁,ダルマッカ
555,Darmanitan,达摩狒狒,ヒヒダルマ
556,Maractus,沙铃仙人掌,マラカッチ
557,Dwebble,石居蟹,イシズマイ
558,Crustle,岩殿居蟹,イワパレス
559,Scraggy,滑滑小子,ズルッグ
560,Scrafty,头巾混混,ズルズキン
561,Sigilyph,象征鸟,シンボラー
562,Yamask,哭哭面具,デスマス
563,Cofagrigus,死神棺,デスカーン
564,Tirtouga,原盖海龟,プロトーガ
565,Carracosta,肋骨海龟,アバゴーラ
566,Archen,始祖小鸟,アーケン
567,Archeops,始祖大鸟,アーケオス
568,Trubbish,破破袋,ヤブクロン
569,Garbodor,灰尘山,ダストダス
570,Zorua,索罗亚,ゾロア
571,Zoroark,索罗亚克,ゾロアーク
572,Minccino,泡沫栗鼠,チラーミィ
573,Cinccino,奇诺栗鼠,チラチーノ
574,Gothita,哥德宝宝,ゴチム
575,Gothorita,哥德小童,ゴチミル
576,Gothitelle,哥德小姐,ゴチルゼル
577,Solosis,单卵细胞球,ユニラン
578,Duosion,双卵细胞球,ダブラン
579,Reuniclus,人造细胞卵,ランクルス
580,Ducklett,鸭宝宝,コアルヒー
581,Swanna,舞天鹅,スワンナ
582,Vanillite,迷你冰,バニプッチ
583,Vanillish,多多冰,バニリッチ
584,Vanilluxe,双倍多多冰,バイバニラ
585,Deerling,四季鹿,シキジカ
586,Sawsbuck,萌芽鹿,メブキジカ
587,Emolga,电飞鼠,エモンガ
588,Karrablast,盖盖虫,カブルモ
589,Escavalier,骑士蜗牛,シュバルゴ
590,Foongus,哎呀球菇,タマゲタケ
591,Amoonguss,败露球菇,モロバレル
592,Frillish,轻飘飘,プルリル
593,Jellicent,胖嘟嘟,ブルンゲル
594,Alomomola,保姆曼波,ママンボウ
595,Joltik,电电虫,バチュル
596,Galvantula,电蜘蛛,デンチュラ
597,Ferroseed,种子铁球,テッシード
598,Ferrothorn,坚果哑铃,ナットレイ
599,Klink,齿轮儿,ギアル
600,Klang,齿轮组,ギギアル
601,Klinklang,齿轮怪,ギギギアル
602,Tynamo,麻麻小鱼,シビシラス
603,Eelektrik,麻麻鳗,シビビール
604,Eelektross,麻麻鳗鱼王,シビルドン
605,Elgyem,小灰怪,リグレー
606,Beheeyem,大宇怪,オーベム
607,Litwick,烛光灵,ヒトモシ
608,Lampent,灯火幽灵,ランプラー
609,Chandelure,水晶灯火灵,シャンデラ
610,Axew,牙牙,キバゴ
611,Fraxure,斧牙龙,オノンド
612,Haxorus,双斧战龙,オノノクス
613,Cubchoo,喷嚏熊,クマシュン
614,Beartic,冻原熊,ツンベアー
615,Cryogonal,几何雪花,フリージオ
616,Shelmet,小嘴蜗,チョボマキ
617,Accelgor,敏捷虫,アギルダー
618,Stunfisk,泥巴鱼,マッギョ
619,Mienfoo,功夫鼬,コジョフー
620,Mienshao,师父鼬,コジョンド
621,Druddigon,赤面龙,クリムガン
622,Golett,泥偶小人,ゴビット
623,Golurk,泥偶巨人,ゴルーグ
624,Pawniard,驹刀小兵,コマタナ
625,Bisharp,劈斩司令,キリキザン
626,Bouffalant,爆炸头水牛,バッフロン
627,Rufflet,毛头小鹰,ワシボン
628,Braviary,勇士雄鹰,ウォーグル
629,Vullaby,秃鹰丫头,バルチャイ
630,Mandibuzz,秃鹰娜,バルジーナ
631,Heatmor,熔蚁兽,クイタラン
632,Durant,铁蚁,アイアント
633,Deino,单首龙,モノズ
634,Zweilous,双首暴龙,ジヘッド
635,Hydreigon,三首恶龙,サザンドラ
636,Larvesta,燃烧虫,メラルバ
637,Volcarona,火神蛾,ウルガモス
638,Cobalion,勾帕路翁,コバルオン
639,Terrakion,代拉基翁,テラキオン
640,Virizion,毕力吉翁,ビリジオン
641,Tornadus,龙卷云,トルネロス
642,Thundurus,雷电云,ボルトロス
643,Reshiram,莱希拉姆,レシラム
644,Zekrom,捷克罗姆,ゼクロム
645,Landorus,土地云,ランドロス
646,Kyurem,酋雷姆,キュレム
647,Keldeo,凯路迪欧,ケルディオ
648,Meloetta,美洛耶塔,メロエッタ
649,Genesect,盖诺赛克特,ゲノセクト
650,Chespin,哈力栗,ハリマロン
651,Quilladin,胖胖哈力,ハリボーグ
652,Chesnaught,布里卡隆,ブリガロン
653,Fennekin,火狐狸,フォッコ
654,Braixen,长尾火狐,テールナー
655,Delphox,妖火红狐,マフォクシー
656,Froakie,呱呱泡蛙,ケロマツ
657,Frogadier,呱头蛙,ゲコガシラ
658,Greninja,甲贺忍蛙,ゲッコウガ
659,Bunnelby,掘掘兔,ホルビー
660,Diggersby,掘地兔,ホルード
661,Fletchling,小箭雀,ヤヤコマ
662,Fletchinder,火箭雀,ヒノヤコマ
663,Talonflame,烈箭鹰,ファイアロー
664,Scatterbug,粉蝶虫,コフキムシ
665,Spewpa,粉蝶蛹,コフーライ
666,Vivillon,彩粉蝶,ビビヨン
667,Litleo,小狮狮,シシコ
668,Pyroar,火炎狮,カエンジシ
669,Flabébé,花蓓蓓,フラベベ
670,Floette,花叶蒂,フラエッテ
